=~=~= PuTTY log (SYNTHETIC sample, not measured) =~=~=
========================================
 OUTSIDE-PAIR PHOTOTRANSISTOR SWEEP TEST
========================================
Enter distance in cm, then press Enter (e.g. 40):
# SWEEP START dist=20.00 cm
# DATA,dist_cm,servo_deg,rel_deg,sl_v,l_v,r_v,sr_v
DATA,80.00,65,-13,0.1916,0.0591,0.1491,0.1431
DATA,80.00,66,-12,0.1710,0.0637,0.1357,0.1331
DATA,80.00,67,-11,0.1899,0.0725,0.1406,0.1452
DATA,80.00,68,-10,0.1924,0.0645,0.1427,0.1617
DATA,80.00,69,-9,0.1905,0.0773,0.1643,0.1820
DATA,80.00,70,-8,0.1923,0.0650,0.1470,0.1724
DATA,80.00,71,-7,0.1876,0.0809,0.1534,0.1725
DATA,80.00,72,-6,0.1981,0.0780,0.1355,0.1691
DATA,80.00,73,-5,0.1857,0.0845,0.1310,0.1775
DATA,80.00,74,-4,0.1860,0.0962,0.1309,0.1872
DATA,80.00,75,-3,0.1976,0.0892,0.1183,0.1801
DATA,80.00,76,-2,0.2045,0.0946,0.1288,0.1996
DATA,80.00,77,-1,0.1867,0.0946,0.1137,0.1768
DATA,80.00,78,0,0.1843,0.0930,0.0999,0.1853
DATA,80.00,79,1,0.1898,0.1137,0.1137,0.1903
DATA,80.00,80,2,0.1931,0.1281,0.0899,0.1754
DATA,80.00,81,3,0.1898,0.1211,0.0835,0.1964
DATA,80.00,82,4,0.1816,0.1242,0.0963,0.1930
DATA,80.00,83,5,0.1715,0.1209,0.0821,0.1931
DATA,80.00,84,6,0.1784,0.1449,0.0783,0.1987
DATA,80.00,85,7,0.1694,0.1329,0.0802,0.2002
DATA,80.00,86,8,0.1775,0.1475,0.0736,0.1974
DATA,80.00,87,9,0.1514,0.1419,0.0719,0.1861
DATA,80.00,88,10,0.1599,0.1384,0.0722,0.1880
DATA,80.00,89,11,0.1651,0.1503,0.0572,0.1894
DATA,80.00,90,12,0.1466,0.1501,0.0534,0.1744
DATA,80.00,91,13,0.1413,0.1416,0.0432,0.1738
DATA,80.00,92,14,0.1344,0.1526,0.0540,0.1760
DATA,80.00,93,15,0.1353,0.1559,0.0596,0.1772
DATA,80.00,94,16,0.1314,0.1400,0.0461,0.1877
DATA,80.00,95,17,0.1297,0.1370,0.0534,0.1764
DATA,80.00,96,18,0.1170,0.1404,0.0515,0.1629
DATA,80.00,97,19,0.1203,0.1377,0.0532,0.1577
DATA,80.00,98,20,0.1104,0.1387,0.0513,0.1711
DATA,80.00,99,21,0.1079,0.1272,0.0363,0.1766
DATA,80.00,100,22,0.0998,0.1318,0.0334,0.1519
DATA,80.00,101,23,0.1000,0.1309,0.0393,0.1424
DATA,80.00,102,24,0.1267,0.1202,0.0324,0.1306
DATA,80.00,103,25,0.1214,0.1161,0.0483,0.1453
DATA,80.00,104,26,0.0994,0.1008,0.0468,0.1354
DATA,80.00,105,27,0.0927,0.0973,0.0357,0.1379
DATA,80.00,106,28,0.0725,0.0908,0.0308,0.1168
DATA,80.00,107,29,0.0746,0.0883,0.0377,0.1215
DATA,80.00,108,30,0.0709,0.0927,0.0278,0.1100
DATA,80.00,109,31,0.0769,0.0768,0.0316,0.1210
DATA,80.00,110,32,0.0734,0.1036,0.0279,0.1021
DATA,80.00,111,33,0.0674,0.0874,0.0326,0.1016
DATA,80.00,112,34,0.0610,0.0610,0.0405,0.0954
DATA,80.00,113,35,0.0537,0.0645,0.0372,0.1021
DATA,80.00,114,36,0.0587,0.0692,0.0402,0.0936
DATA,80.00,115,37,0.0654,0.0528,0.0235,0.0784
DATA,80.00,116,38,0.0575,0.0595,0.0321,0.0777
DATA,80.00,117,39,0.0534,0.0688,0.0227,0.0709
DATA,80.00,118,40,0.0553,0.0558,0.0335,0.0799
DATA,80.00,119,41,0.0529,0.0538,0.0330,0.0753
DATA,80.00,120,42,0.0337,0.0438,0.0407,0.0564
DATA,80.00,121,43,0.0452,0.0450,0.0390,0.0513
DATA,80.00,122,44,0.0402,0.0364,0.0354,0.0634
DATA,80.00,123,45,0.0260,0.0481,0.0261,0.0667
DATA,80.00,124,46,0.0304,0.0398,0.0263,0.0600
DATA,80.00,125,47,0.0374,0.0480,0.0137,0.0439
DATA,80.00,126,48,0.0455,0.0502,0.0265,0.0416
DATA,80.00,127,49,0.0362,0.0476,0.0177,0.0589
DATA,80.00,128,50,0.0392,0.0375,0.0375,0.0489
DATA,80.00,129,51,0.0292,0.0327,0.0373,0.0452
DATA,80.00,130,52,0.0184,0.0260,0.0311,0.0571
DATA,80.00,131,53,0.0358,0.0359,0.0270,0.0387
DATA,80.00,132,54,0.0268,0.0419,0.0312,0.0447
DATA,80.00,133,55,0.0433,0.0309,0.0429,0.0456
DATA,80.00,134,56,0.0474,0.0317,0.0408,0.0476
DATA,80.00,135,57,0.0301,0.0375,0.0264,0.0331
DATA,80.00,136,58,0.0422,0.0391,0.0314,0.0418
DATA,80.00,137,59,0.0400,0.0205,0.0210,0.0600
DATA,80.00,138,60,0.0207,0.0331,0.0332,0.0250
# SWEEP END dist=80.00 cm
Enter distance in cm, then press Enter (e.g. 40):
# SWEEP START dist=100.00 cm
# DATA,dist_cm,servo_deg,rel_deg,sl_v,l_v,r_v,sr_v
DATA,100.00,18,-60,0.0405,0.0279,0.0417,0.0245
DATA,100.00,19,-59,0.0423,0.0285,0.0182,0.0356
DATA,100.00,20,-58,0.0235,0.0292,0.0274,0.0338
DATA,100.00,21,-57,0.0404,0.0229,0.0239,0.0477
DATA,100.00,22,-56,0.0302,0.0359,0.0282,0.0435
DATA,100.00,23,-55,0.0348,0.0411,0.0270,0.0365
DATA,100.00,24,-54,0.0450,0.0498,0.0365,0.0335
DATA,100.00,25,-53,0.0420,0.0340,0.0248,0.0208
DATA,100.00,26,-52,0.0393,0.0234,0.0271,0.0485
DATA,100.00,27,-51,0.0465,0.0316,0.0351,0.0351
DATA,100.00,28,-50,0.0559,0.0220,0.0436,0.0222
DATA,100.00,29,-49,0.0391,0.0251,0.0209,0.0386
DATA,100.00,30,-48,0.0346,0.0248,0.0510,0.0365
DATA,100.00,31,-47,0.0375,0.0234,0.0305,0.0318
DATA,100.00,32,-46,0.0408,0.0331,0.0438,0.0410
DATA,100.00,33,-45,0.0445,0.0212,0.0481,0.0322
DATA,100.00,34,-44,0.0562,0.0355,0.0516,0.0279
DATA,100.00,35,-43,0.0367,0.0365,0.0383,0.0256
DATA,100.00,36,-42,0.0572,0.0385,0.0441,0.0377
DATA,100.00,37,-41,0.0510,0.0301,0.0443,0.0367
DATA,100.00,38,-40,0.0681,0.0352,0.0425,0.0464
DATA,100.00,39,-39,0.0547,0.0448,0.0514,0.0321
DATA,100.00,40,-38,0.0638,0.0309,0.0541,0.0437
DATA,100.00,41,-37,0.0586,0.0291,0.0506,0.0348
DATA,100.00,42,-36,0.0631,0.0448,0.0567,0.0628
DATA,100.00,43,-35,0.0690,0.0107,0.0794,0.0490
DATA,100.00,44,-34,0.0718,0.0273,0.0604,0.0614
DATA,100.00,45,-33,0.0721,0.0506,0.0686,0.0574
DATA,100.00,46,-32,0.0880,0.0276,0.0619,0.0626
DATA,100.00,47,-31,0.0861,0.0272,0.0640,0.0480
DATA,100.00,48,-30,0.0994,0.0221,0.0682,0.0694
DATA,100.00,49,-29,0.0851,0.0386,0.0782,0.0731
DATA,100.00,50,-28,0.0987,0.0158,0.0700,0.0471
DATA,100.00,51,-27,0.0763,0.0268,0.0643,0.0647
DATA,100.00,52,-26,0.1011,0.0382,0.0822,0.0633
DATA,100.00,53,-25,0.1018,0.0343,0.0809,0.0723
DATA,100.00,54,-24,0.0986,0.0400,0.0891,0.0668
DATA,100.00,55,-23,0.1100,0.0367,0.0899,0.0785
DATA,100.00,56,-22,0.1142,0.0420,0.0973,0.0838
DATA,100.00,57,-21,0.1181,0.0272,0.1007,0.0837
DATA,100.00,58,-20,0.1158,0.0403,0.0848,0.0836
DATA,100.00,59,-19,0.1197,0.0272,0.0849,0.0770
DATA,100.00,60,-18,0.1119,0.0473,0.1026,0.0907
DATA,100.00,61,-17,0.1109,0.0399,0.1022,0.0889
DATA,100.00,62,-16,0.1196,0.0492,0.0932,0.0857
DATA,100.00,63,-15,0.1253,0.0413,0.1113,0.0983
DATA,100.00,64,-14,0.1333,0.0500,0.1021,0.0999
DATA,100.00,65,-13,0.1210,0.0577,0.1030,0.1060
DATA,100.00,66,-12,0.1250,0.0354,0.1041,0.1151
DATA,100.00,67,-11,0.1540,0.0384,0.1075,0.1144
DATA,100.00,68,-10,0.1264,0.0410,0.1129,0.1229
DATA,100.00,69,-9,0.1477,0.0648,0.0977,0.1091
DATA,100.00,70,-8,0.1407,0.0637,0.0847,0.1104
DATA,100.00,71,-7,0.1291,0.0573,0.1052,0.1189
DATA,100.00,72,-6,0.1330,0.0776,0.0880,0.1328
DATA,100.00,73,-5,0.1323,0.0693,0.1035,0.1342
DATA,100.00,74,-4,0.1377,0.0582,0.0867,0.1246
DATA,100.00,75,-3,0.1445,0.0655,0.1012,0.1226
DATA,100.00,76,-2,0.1199,0.0653,0.0804,0.1167
DATA,100.00,77,-1,0.1485,0.0867,0.0754,0.1356
DATA,100.00,78,0,0.1376,0.0769,0.0894,0.1315
DATA,100.00,79,1,0.1258,0.0750,0.0682,0.1229
DATA,100.00,80,2,0.1279,0.0822,0.0818,0.1304
DATA,100.00,81,3,0.1297,0.0825,0.0772,0.1189
DATA,100.00,82,4,0.1280,0.0983,0.0698,0.1373
DATA,100.00,83,5,0.1334,0.0974,0.0655,0.1326
DATA,100.00,84,6,0.1305,0.0978,0.0820,0.1469
DATA,100.00,85,7,0.1168,0.1004,0.0600,0.1227
DATA,100.00,86,8,0.1163,0.0989,0.0589,0.1408
DATA,100.00,87,9,0.1208,0.0922,0.0505,0.1334
DATA,100.00,88,10,0.1134,0.1051,0.0491,0.1320
DATA,100.00,89,11,0.1189,0.0949,0.0487,0.1359
DATA,100.00,90,12,0.1017,0.0933,0.0649,0.1384
DATA,100.00,91,13,0.1082,0.0934,0.0461,0.1188
DATA,100.00,92,14,0.1039,0.1088,0.0418,0.1362
DATA,100.00,93,15,0.1099,0.1093,0.0420,0.1141
DATA,100.00,94,16,0.0852,0.0867,0.0496,0.1132
DATA,100.00,95,17,0.0931,0.0986,0.0319,0.1142
DATA,100.00,96,18,0.0906,0.1006,0.0460,0.1232
DATA,100.00,97,19,0.0686,0.0922,0.0291,0.1064
DATA,100.00,98,20,0.0945,0.1015,0.0375,0.1151
DATA,100.00,99,21,0.1042,0.0956,0.0229,0.1131
DATA,100.00,100,22,0.0771,0.0902,0.0409,0.1084
DATA,100.00,101,23,0.0786,0.0848,0.0413,0.1089
DATA,100.00,102,24,0.0699,0.0923,0.0295,0.0922
DATA,100.00,103,25,0.0741,0.0911,0.0368,0.1069
DATA,100.00,104,26,0.0655,0.0855,0.0350,0.0969
DATA,100.00,105,27,0.0653,0.0772,0.0424,0.0989
DATA,100.00,106,28,0.0767,0.0838,0.0337,0.0823
DATA,100.00,107,29,0.0547,0.0664,0.0406,0.0878
DATA,100.00,108,30,0.0547,0.0721,0.0310,0.0915
DATA,100.00,109,31,0.0567,0.0794,0.0265,0.0898
DATA,100.00,110,32,0.0542,0.0641,0.0311,0.0783
DATA,100.00,111,33,0.0649,0.0562,0.0296,0.0614
DATA,100.00,112,34,0.0679,0.0760,0.0380,0.0648
DATA,100.00,113,35,0.0421,0.0560,0.0304,0.0728
DATA,100.00,114,36,0.0432,0.0592,0.0239,0.0749
DATA,100.00,115,37,0.0510,0.0469,0.0293,0.0698
DATA,100.00,116,38,0.0424,0.0535,0.0400,0.0589
DATA,100.00,117,39,0.0600,0.0530,0.0270,0.0795
DATA,100.00,118,40,0.0559,0.0474,0.0250,0.0599
DATA,100.00,119,41,0.0462,0.0482,0.0381,0.0642
DATA,100.00,120,42,0.0451,0.0536,0.0310,0.0520
DATA,100.00,121,43,0.0369,0.0312,0.0273,0.0445
DATA,100.00,122,44,0.0448,0.0427,0.0242,0.0571
DATA,100.00,123,45,0.0469,0.0238,0.0183,0.0582
DATA,100.00,124,46,0.0382,0.0388,0.0313,0.0629
DATA,100.00,125,47,0.0518,0.0530,0.0275,0.0426
DATA,100.00,126,48,0.0411,0.0441,0.0326,0.0324
DATA,100.00,127,49,0.0342,0.0357,0.0184,0.0570
DATA,100.00,128,50,0.0375,0.0323,0.0406,0.0450
DATA,100.00,129,51,0.0428,0.0385,0.0339,0.0327
DATA,100.00,130,52,0.0304,0.0421,0.0175,0.0361
DATA,100.00,131,53,0.0325,0.0333,0.0385,0.0332
DATA,100.00,132,54,0.0518,0.0456,0.0253,0.0480
DATA,100.00,133,55,0.0287,0.0258,0.0324,0.0426
DATA,100.00,134,56,0.0398,0.0160,0.0318,0.0390
DATA,100.00,135,57,0.0385,0.0257,0.0230,0.0383
DATA,100.00,136,58,0.0444,0.0298,0.0071,0.0291
DATA,100.00,137,59,0.0357,0.0282,0.0343,0.0431
DATA,100.00,138,60,0.0116,0.0242,0.0273,0.0373
# SWEEP END dist=100.00 cm
